request_id,check,detail,severity,declared_status,declared_path_found_flag,derived_state,deal_value_usd
R1003,path_flag_no_path_but_path_observable,path_found_flag='No path found' yet 5 time-aware path(s) exist,high,Stalled,No path found,intro_sent,400000
R1003,open_status_but_intro_recorded,outcome row records an intro that the status never reflected,medium,Stalled,No path found,intro_sent,400000
R1003,target_account_unresolved,target 'Redtree Foods' resolves to tier E_unmatched,medium,Stalled,No path found,intro_sent,400000
R1006,target_account_unresolved,target 'Kingsmere Retail Group' resolves to tier E_unmatched,medium,Open,,declared_only:Open,750000
R1008,path_flag_unknown_after_routing,"a connector was asked, yet the path flag was never updated from 'Unknown'",medium,Open,Unknown,asked_awaiting_connector_response,2000000
R1009,declared_intro_sent_without_outcome_row,status claims an intro with no outcome record at all,high,Intro sent,Path found,declared_only:Intro sent,1200000
R1011,target_account_unresolved,target 'Thornbury' resolves to tier E_unmatched,medium,Open,Unknown,declared_only:Open,400000
R1012,target_account_unresolved,target 'nan' resolves to tier E_unmatched,medium,Open,Path found,asked_awaiting_connector_response,750000
R1015,target_account_unresolved,target 'Cindermill Mining' resolves to tier C_similar_but_distinct,medium,Stalled,Path found,asked_awaiting_connector_response,80000
R1016,declared_intro_sent_without_outcome_row,status claims an intro with no outcome record at all,high,Intro sent,,declared_only:Intro sent,1200000
R1017,closed_no_path_but_path_observable,closed as 'no path' yet 1 connection(s) to the account pre-dating the request exist via Marcus Aldridge,high,Closed - no path,Unknown,declared_only:Closed - no path,250000
R1017,target_account_unresolved,target 'Vireo Systems' resolves to tier E_unmatched,medium,Closed - no path,Unknown,declared_only:Closed - no path,250000
R1020,target_account_unresolved,target 'nan' resolves to tier E_unmatched,medium,Intro sent,Path found,intro_sent,750000
R1021,declared_intro_sent_without_outcome_row,status claims an intro with no outcome record at all,high,Intro sent,,declared_only:Intro sent,1200000
R1022,open_status_but_intro_recorded,outcome row records an intro that the status never reflected,medium,Open,Unknown,intro_sent,1200000
R1022,path_flag_unknown_after_routing,"a connector was asked, yet the path flag was never updated from 'Unknown'",medium,Open,Unknown,intro_sent,1200000
R1022,target_account_unresolved,target 'Blackwood Industrial' resolves to tier C_similar_but_distinct,medium,Open,Unknown,intro_sent,1200000
R1023,declared_routed_without_connector,status claims routing but no connector or asked_date is recorded anywhere,high,Routed,,declared_only:Routed,400000
R1024,declared_routed_without_connector,status claims routing but no connector or asked_date is recorded anywhere,high,Routed,Path found,declared_only:Routed,2000000
R1025,path_flag_unknown_after_routing,"a connector was asked, yet the path flag was never updated from 'Unknown'",medium,Open,Unknown,connector_responded_no_intro_recorded,1200000
R1025,connector_responded_no_recorded_next_step,"connector responded, no intro and no closure recorded",medium,Open,Unknown,connector_responded_no_intro_recorded,1200000
R1026,connector_responded_no_recorded_next_step,"connector responded, no intro and no closure recorded",medium,Routed,,connector_responded_no_intro_recorded,1200000
R1027,declared_routed_without_connector,status claims routing but no connector or asked_date is recorded anywhere,high,Routed,Unknown,declared_only:Routed,400000
