account_id,account_name,domain,normalized_domain,normalized_name,industry,hq,employee_count,owner,stage,domain_group,domain_group_size,duplicate_class,resolution
A1027,Aldergate Telecom,aldergate.com,aldergate.com,aldergate telecom,Telecom,Dallas,39000,Yusuf Petrossian,Closed Lost,,1,unique_domain,canonical
A91001,"Apex Logistics, Inc.",apexlogistics.com,apexlogistics.com,apex logistics,Logistics,Memphis,14000,Yusuf Petrossian,Prospect,DG_apexlogistics.com,2,probable_duplicate_same_normalized_name,kept_separate_pending_identifier_evidence
A1001,Apex Logistics,apexlogistics.com,apexlogistics.com,apex logistics,Logistics,Memphis,14000,Rafael Salcedo,Prospect,DG_apexlogistics.com,2,probable_duplicate_same_normalized_name,kept_separate_pending_identifier_evidence
A1002,Apex Holdings,apexlogisticsgroup.co.uk,apexlogisticsgroup.co.uk,apex,Logistics,Leeds,900,Imani Mkhize,Negotiation,,1,unique_domain,canonical
A91035,Ashgrove Agriculture Inc,ashgroveag.com,ashgroveag.com,ashgrove agriculture,Agriculture,Des Moines,23000,Rafael Salcedo,Pilot,DG_ashgroveag.com,2,probable_duplicate_same_normalized_name,kept_separate_pending_identifier_evidence
A1035,Ashgrove Agriculture,ashgroveag.com,ashgroveag.com,ashgrove agriculture,Agriculture,Des Moines,23000,Hana Nakashima,Pilot,DG_ashgroveag.com,2,probable_duplicate_same_normalized_name,kept_separate_pending_identifier_evidence
A1045,Bexley Bioworks,bexleybio.com,bexleybio.com,bexley bioworks,Biotech,Cambridge,1400,Sloane Fairweather,Negotiation,,1,unique_domain,canonical
A1010,Blackwood Holdings,blackwoodindustrial.com,blackwoodindustrial.com,blackwood,Industrials,Cleveland,27000,Imani Mkhize,Negotiation,,1,unique_domain,canonical
A91006,Brightmoor Energy Inc,brightmoorenergy.com,brightmoorenergy.com,brightmoor energy,Energy,Houston,9800,Imani Mkhize,Discovery,DG_brightmoorenergy.com,2,probable_duplicate_same_normalized_name,kept_separate_pending_identifier_evidence
A1006,Brightmoor Energy,brightmoorenergy.com,brightmoorenergy.com,brightmoor energy,Energy,Houston,9800,Imani Mkhize,Discovery,DG_brightmoorenergy.com,2,probable_duplicate_same_normalized_name,kept_separate_pending_identifier_evidence
A1025,Cindermill Holdings,cindermill.com,cindermill.com,cindermill,Mining,Perth,13000,Nadia Okonkwo,Discovery,,1,unique_domain,canonical
A1038,Cobalt Lane Capital Markets,cobaltlanecm.com,cobaltlanecm.com,cobalt lane capital markets,Financial Services,Chicago,6900,Rafael Salcedo,Discovery,,1,unique_domain,canonical
