request_id,request_date,requested_by,target_company_raw,raw_ask,prior_request_id,prior_request_date,prior_same_requester,prior_derived_state,prior_was_routed,prior_had_terminal_evidence,days_since_prior
R1001,2026-04-14,Imani Mkhize,Vantage Ridge Utilities,asking again: Vantage Ridge Utilities. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.,R1111,2026-01-29,True,declared_only:Intro sent,False,False,75.0
R1017,2025-11-06,Nadia Okonkwo,Vireo Systems,any connections into Vireo Systems? we're up against a renewal window and I need an intro to Head of Developer Productivity,R1107,2025-11-05,True,connector_responded_no_intro_recorded,True,False,1.0
R1019,2026-01-01,Nadia Okonkwo,Northwind Freight,any connections into Northwind Freight? we're up against a renewal window and I need an intro to Chief Data Officer,R1161,2025-12-20,False,declared_only:Routed,False,False,12.0
R1022,2026-06-11,Nadia Okonkwo,Blackwood Industrial,asking again: Blackwood Industrial. Director of Software Engineering. Happy to draft the forward myself if someone can vouch.,R1091,2026-04-14,False,intro_sent,True,True,58.0
R1023,2025-10-21,Bertrand Vandermolen,Thistledown Energy,asking again: Thistledown Energy. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.,R1064,2025-08-14,False,declared_only:Routed,False,False,68.0
R1027,2026-07-05,Hana Nakashima,Strathmore Rail,asking again: Strathmore Rail. Chief Technology Officer. Happy to draft the forward myself if someone can vouch.,R1094,2026-06-23,True,asked_awaiting_connector_response,True,False,12.0
R1036,2026-05-19,Curtis Hartigan,Sablefield Motors,asking again: Sablefield Motors. Chief Data Officer. Happy to draft the forward myself if someone can vouch.,R1117,2026-04-11,False,declared_only:Open,False,False,38.0
R1039,2026-01-29,Nadia Okonkwo,Ravensmoor Defense,asking again: Ravensmoor Defense. Head of Developer Productivity. Happy to draft the forward myself if someone can vouch.,R1109,2025-10-24,False,volunteered_no_recorded_followup,False,False,97.0
R1048,2026-04-14,Bertrand Vandermolen,Bexley Bioworks,any connections into Bexley Bioworks? we're up against a renewal window and I need an intro to Chief Data Officer,,,False,,False,False,
R1052,2025-08-19,Yusuf Petrossian,Priorwood Chemicals,asking again: Priorwood Chemicals. Head of Platform Engineering. Happy to draft the forward myself if someone can vouch.,R1192,2025-08-18,False,opportunity_created,True,True,1.0
R1053,2026-06-16,Rafael Salcedo,Strathmore Rail,asking again: Strathmore Rail. VP Data & Analytics. Happy to draft the forward myself if someone can vouch.,R1093,2025-12-16,False,asked_awaiting_connector_response,True,False,182.0
R1057,2026-06-16,Curtis Hartigan,Harrowgate Health,any connections into Harrowgate Health? we're up against a renewal window and I need an intro to Chief Information Officer,R1157,2026-04-28,False,connector_responded_no_intro_recorded,True,False,49.0
R1066,2026-06-25,Curtis Hartigan,Kingsmere Retail Group,any connections into Kingsmere Retail Group? we're up against a renewal window and I need an intro to Chief Digital Officer,R1006,2026-06-07,False,declared_only:Open,False,False,18.0
R1069,2025-10-30,Sloane Fairweather,Apex Logistics Group,any connections into Apex Logistics Group? we're up against a renewal window and I need an intro to SVP Digital,R1197,2025-08-08,False,connector_responded_no_intro_recorded,True,False,83.0
R1076,2026-01-27,Imani Mkhize,,"we need Cobalt Lane Capital Markets. Not Ferrowick Insurance — that's a different entity and we already have that one. Also spoke to Apex Logistics last week, unrelated.",,,False,,False,False,
R1078,2025-11-11,Hana Nakashima,Cobalt Lane Capital Markets,asking again: Cobalt Lane Capital Markets. VP Engineering. Happy to draft the forward myself if someone can vouch.,,,False,,False,False,
R1090,2025-12-17,Hana Nakashima,Harrowgate Health,any connections into Harrowgate Health? we're up against a renewal window and I need an intro to VP Engineering,R1153,2025-11-29,False,declared_only:Stalled,False,False,18.0
R1097,2025-12-04,Nadia Okonkwo,Pemberton Retail,any connections into Pemberton Retail? we're up against a renewal window and I need an intro to VP Data & Analytics,R1050,2025-09-05,False,declared_only:Open,False,False,90.0
R1100,2026-05-08,Curtis Hartigan,Northwind Freight,any connections into Northwind Freight? we're up against a renewal window and I need an intro to Chief Technology Officer,R1014,2026-02-18,False,declared_only:Closed - no path,False,False,79.0
R1101,2026-05-09,Imani Mkhize,Calderon Aerospace,any connections into Calderon Aerospace? we're up against a renewal window and I need an intro to Head of Developer Productivity,R1068,2026-02-14,False,asked_awaiting_connector_response,True,False,84.0
R1102,2025-10-27,Yusuf Petrossian,Strathmore Rail,any connections into Strathmore Rail? we're up against a renewal window and I need an intro to VP Engineering,,,False,,False,False,
R1104,2025-12-20,Bertrand Vandermolen,Ellerby Semiconductor,asking again: Ellerby Semiconductor. VP Engineering. Happy to draft the forward myself if someone can vouch.,,,False,,False,False,
R1108,2025-10-09,Yusuf Petrossian,Gravenhurst Motors,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to VP Engineering,,,False,,False,False,
R1117,2026-04-11,Yusuf Petrossian,Sablefield Motors,any connections into Sablefield Motors? we're up against a renewal window and I need an intro to SVP Digital,R1138,2026-04-06,True,declared_only:Open,False,False,5.0
R1120,2025-10-28,Yusuf Petrossian,Duncastle Hotels,asking again: Duncastle Hotels. Chief Information Officer. Happy to draft the forward myself if someone can vouch.,R1032,2025-09-11,False,intro_sent,True,True,47.0
R1125,2026-07-05,Sloane Fairweather,Strathmore Rail,asking again: Strathmore Rail. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.,R1094,2026-06-23,False,asked_awaiting_connector_response,True,False,12.0
R1127,2026-05-26,Imani Mkhize,Halcyon Grid,asking again: Halcyon Grid. SVP Digital. Happy to draft the forward myself if someone can vouch.,,,False,,False,False,
R1132,2025-12-13,Sloane Fairweather,Strathmore Rail,asking again: Strathmore Rail. Chief Operating Officer. Happy to draft the forward myself if someone can vouch.,R1102,2025-10-27,False,connector_responded_no_intro_recorded,True,False,47.0
R1139,2025-10-28,Bertrand Vandermolen,Brightmoor Energy,asking again: Brightmoor Energy. VP Data & Analytics. Happy to draft the forward myself if someone can vouch.,,,False,,False,False,
R1143,2026-03-04,Sloane Fairweather,Gravenhurst Motors,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to Chief Operating Officer,R1115,2026-02-20,False,volunteered_no_recorded_followup,False,False,12.0
R1158,2025-10-30,Rafael Salcedo,Gravenhurst Motors,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to Head of Platform Engineering,R1108,2025-10-09,False,connector_responded_no_intro_recorded,True,False,21.0
R1160,2026-05-22,Bertrand Vandermolen,Gravenhurst Motors,any connections into Gravenhurst Motors? we're up against a renewal window and I need an intro to Director of Software Engineering,R1149,2026-05-02,False,opportunity_created,True,True,20.0
R1168,2026-07-22,Bertrand Vandermolen,Meridian Peak Foods,any connections into Meridian Peak Foods? we're up against a renewal window and I need an intro to VP Engineering,R1172,2025-10-21,False,asked_awaiting_connector_response,True,False,274.0
R1170,2025-09-10,Hana Nakashima,Osric Networks,any connections into Osric Networks? we're up against a renewal window and I need an intro to SVP Digital,,,False,,False,False,
R1172,2025-10-21,Hana Nakashima,Meridian Peak Foods,any connections into Meridian Peak Foods? we're up against a renewal window and I need an intro to VP Engineering,,,False,,False,False,
R1175,2025-11-20,Imani Mkhize,Copperline Water,asking again: Copperline Water. Chief Digital Officer. Happy to draft the forward myself if someone can vouch.,,,False,,False,False,
R1189,2026-02-27,Nadia Okonkwo,Marrow Point Airways,asking again: Marrow Point Airways. Chief Information Officer. Happy to draft the forward myself if someone can vouch.,R1035,2025-12-23,False,declared_only:Closed - no path,False,False,66.0
R1190,2026-07-02,Yusuf Petrossian,Brightmoor Energy,asking again: Brightmoor Energy. VP Enterprise Architecture. Happy to draft the forward myself if someone can vouch.,R1123,2026-04-22,False,intro_sent,True,True,71.0
R1191,2025-12-15,Yusuf Petrossian,Volney Industrial Systems,asking again: Volney Industrial Systems. Chief Digital Officer. Happy to draft the forward myself if someone can vouch.,R1002,2025-09-14,False,declared_only:Open,False,False,92.0
R1194,2026-06-28,Imani Mkhize,Marrow Point Airways,asking again: Marrow Point Airways. VP Data & Analytics. Happy to draft the forward myself if someone can vouch.,R1133,2026-04-08,False,declared_only:Open,False,False,81.0
R1196,2026-02-03,Bertrand Vandermolen,Priorwood Chemicals,asking again: Priorwood Chemicals. Chief Technology Officer. Happy to draft the forward myself if someone can vouch.,R1118,2025-09-15,False,connector_responded_no_intro_recorded,True,False,141.0
R1199,2025-12-09,Curtis Hartigan,Vireo Systems,any connections into Vireo Systems? we're up against a renewal window and I need an intro to Chief Digital Officer,R1166,2025-11-08,False,connector_responded_no_intro_recorded,True,False,31.0
